0 	0.0	133.0
1 	0.0	86.0
2 	0.0	104.0
3 	8.0	144.0
4 	8.0	95.0
5 	8.0	112.0
6 	15.0	150.0
7 	15.0	101.0
8 	15.0	119.0
9 	23.0	157.0
10 	23.0	110.0
11 	23.0	126.0
12 	30.0	163.0
13 	30.0	118.0
14 	30.0	134.0
15 	38.0	169.0
16 	38.0	126.0
17 	38.0	142.0
18 	45.0	177.0
19 	45.0	132.0
20 	45.0	148.0
21 	53.0	187.0
22 	53.0	158.0
23 	56.0	145.0
24 	60.0	149.0
25 	60.0	164.0
26 	66.0	195.0
27 	68.0	156.0
28 	68.0	173.0
29 	75.0	207.0
30 	75.0	163.0
31 	75.0	180.0
32 	82.0	215.0
33 	83.0	187.0
34 	87.0	174.0
35 	89.0	223.0
36 	90.0	178.0
37 	90.0	194.0
38 	97.0	228.0
39 	98.0	204.0
40 	101.0	191.0
41 	105.0	195.0
42 	105.0	209.0
43 	111.0	238.0
44 	113.0	217.0
45 	116.0	205.0
46 	120.0	209.0
47 	120.0	224.0
48 	126.0	255.0
49 	128.0	218.0
50 	128.0	231.0
51 	135.0	270.0
52 	135.0	222.0
53 	135.0	238.0
54 	142.0	275.0
55 	143.0	247.0
56 	146.0	234.0
57 	149.0	282.0
58 	150.0	238.0
59 	150.0	254.0
60 	156.0	288.0
61 	158.0	263.0
62 	159.0	295.0
63 	162.0	247.0
64 	165.0	252.0
65 	165.0	269.0
66 	172.0	298.0
67 	173.0	277.0
68 	176.0	263.0
69 	179.0	298.0
70 	180.0	284.0
71 	184.0	272.0
72 	186.0	298.0
73 	188.0	293.0
74 	190.0	279.0
75 	195.0	283.0
76 	195.0	298.0
77 	201.0	298.0
78 	203.0	298.0
79 	206.0	294.0
80 	210.0	297.0
81 	210.0	298.0
82 	216.0	298.0
83 	218.0	298.0
84 	221.0	298.0
85 	225.0	298.0
86 	225.0	298.0
87 	231.0	298.0
88 	233.0	298.0
89 	236.0	298.0
90 	239.0	298.0
91 	240.0	298.0
92 	240.0	298.0
93 	246.0	298.0
94 	248.0	298.0
95 	248.0	298.0
96 	255.0	298.0
97 	255.0	298.0
98 	255.0	298.0
99 	263.0	298.0
100 	266.0	298.0
101 	269.0	298.0
102 	270.0	298.0
103 	270.0	298.0
104 	276.0	298.0
105 	278.0	298.0
106 	278.0	298.0
107 	284.0	298.0
108 	285.0	298.0
109 	285.0	298.0
110 	293.0	298.0
111 	293.0	298.0
112 	296.0	298.0
