0 	0.0	10.0
1 	0.0	20.0
2 	0.0	11.0
3 	10.0	21.0
4 	10.0	31.0
5 	10.0	20.0
6 	20.0	30.0
7 	20.0	41.0
8 	20.0	30.0
9 	30.0	41.0
10 	30.0	51.0
11 	30.0	41.0
12 	40.0	50.0
13 	40.0	60.0
14 	40.0	50.0
15 	50.0	60.0
16 	50.0	70.0
17 	50.0	61.0
18 	60.0	71.0
19 	60.0	81.0
20 	60.0	70.0
21 	70.0	80.0
22 	70.0	90.0
23 	70.0	81.0
24 	80.0	91.0
25 	80.0	100.0
26 	80.0	90.0
27 	90.0	100.0
28 	90.0	112.0
29 	90.0	100.0
30 	100.0	110.0
31 	100.0	121.0
32 	100.0	110.0
33 	110.0	120.0
34 	110.0	131.0
35 	110.0	120.0
36 	120.0	131.0
37 	120.0	141.0
38 	120.0	131.0
39 	130.0	140.0
40 	130.0	151.0
41 	130.0	140.0
42 	140.0	151.0
43 	140.0	161.0
44 	140.0	150.0
45 	150.0	160.0
46 	150.0	171.0
47 	150.0	160.0
48 	160.0	171.0
49 	160.0	181.0
50 	160.0	170.0
51 	170.0	180.0
52 	170.0	191.0
53 	170.0	181.0
54 	180.0	191.0
55 	180.0	201.0
56 	180.0	190.0
57 	190.0	200.0
58 	190.0	210.0
59 	190.0	200.0
60 	200.0	211.0
61 	200.0	221.0
62 	200.0	210.0
63 	210.0	221.0
64 	210.0	231.0
65 	210.0	220.0
66 	220.0	230.0
67 	220.0	240.0
68 	220.0	231.0
69 	230.0	241.0
70 	230.0	251.0
71 	230.0	241.0
72 	240.0	250.0
73 	240.0	261.0
74 	240.0	250.0
75 	250.0	260.0
76 	250.0	271.0
77 	250.0	260.0
78 	260.0	270.0
79 	260.0	281.0
80 	260.0	271.0
81 	270.0	280.0
82 	270.0	291.0
83 	270.0	281.0
84 	280.0	290.0
85 	280.0	298.0
86 	280.0	290.0
87 	290.0	298.0
88 	290.0	298.0
89 	290.0	298.0
